PolyID,Vegetation Map Unit Name,Area_Acres,Percent_Herbaceous,Percent_Shrub,Percent_Tree,ET_mm,ConsumptiveUse_AF
5939,Tamarisk Woodland,3.25,6.94,82.46,10.60,1059.06,11.29
5289,Wet Meadow,7.26,85.41,10.94,3.65,1059.12,25.23
5034,Salt Meadow/Dry Grassland,2.35,98.72,1.25,0.03,1059.41,8.17
2450,Dry Native Riparian Shrubland,0.73,85.66,14.34,0.00,1059.44,2.54
636,Salt Meadow/Dry Grassland,0.32,98.38,1.62,0.00,1059.61,1.11
3660,Native Riparian Forest,6.21,23.36,14.74,61.90,1059.87,21.59
89,Native Riparian Forest,3.4,54.12,14.87,31.01,1060.19,11.83
4687,Salt Meadow/Dry Grassland,0.36,71.67,17.63,10.70,1060.32,1.25
878,Wet Native Willow Shrubland,0.25,53.41,45.21,1.38,1060.79,0.87
184,Salt Meadow/Dry Grassland,2.27,86.39,13.18,0.43,1061.13,7.9
6541,Russian Olive Woodland,10.63,15.03,27.82,57.15,1061.17,37.01
980,Native Riparian Forest,2.69,43.78,18.55,37.67,1061.22,9.37
4152,Native Riparian Forest,4.25,56.32,19.98,23.70,1061.26,14.8
5159,Wet Meadow,5.81,89.64,10.36,0.00,1061.46,20.23
4032,Native Riparian Forest,3.28,33.06,38.43,28.51,1061.47,11.42
6193,Tamarisk Woodland,54.57,48.12,51.66,0.22,1061.47,190.04
6377,Russian Olive Woodland,1.2,0.64,14.85,84.51,1061.81,4.18
5282,Wet Meadow,0.39,81.67,15.45,2.87,1061.87,1.36
3396,Native Riparian Forest,2.79,36.01,24.06,39.93,1062,9.72
5066,Salt Meadow/Dry Grassland,2.47,83.55,16.45,0.00,1062.1,8.61
3069,Wet Native Willow Shrubland,2.55,58.66,37.32,4.02,1062.47,8.89
3242,Native Riparian Forest,4.61,51.06,6.71,42.23,1062.58,16.07
